TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2024,8,12,18,30,10XX HOMER ST,Central Business District,491198.5704,5458233.8344
Break and Enter Commercial,2024,8,28,10,18,10XX HOMER ST,Central Business District,491198.5704,5458233.8344
Break and Enter Commercial,2024,9,5,1,46,10XX HOMER ST,Central Business District,491198.5704,5458233.8344
Break and Enter Commercial,2024,1,4,15,7,10XX HORNBY ST,Central Business District,490833.289,5458565.0539
Break and Enter Commercial,2024,7,20,16,20,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Break and Enter Commercial,2024,10,17,11,29,10XX HOWE ST,Central Business District,490867.558,5458473.4093
Break and Enter Commercial,2024,2,14,5,58,10XX HOWE ST,Central Business District,490889.5958,5458482.8579
Break and Enter Commercial,2024,8,20,19,14,10XX HOWE ST,Central Business District,490912.2593,5458506.0209
Break and Enter Commercial,2024,9,14,4,12,10XX LAGOON DR,Stanley Park,489317.118,5460043.1044
Break and Enter Commercial,2024,5,4,4,35,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2024,5,5,14,15,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2024,5,13,22,21,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2024,9,25,11,45,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2024,1,24,4,57,10XX MARINASIDE CRES,Central Business District,491414.5679,5457873.0238
Break and Enter Commercial,2024,1,26,16,22,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.8202
Break and Enter Commercial,2024,8,26,2,33,10XX NELSON ST,West End,490787.3166,5458775.1295
Break and Enter Commercial,2024,6,3,3,30,10XX RICHARDS ST,Central Business District,491180.0977,5458345.9226
Break and Enter Commercial,2024,3,26,20,32,10XX ROBSON ST,West End,491022.0625,5459007.594
Break and Enter Commercial,2024,7,25,20,28,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2024,3,18,17,45,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,3,20,3,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,5,14,2,50,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2024,6,8,20,50,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2024,7,2,9,20,10XX W 8TH AVE,Fairview,490648.9735,5456846.8806
Break and Enter Commercial,2024,8,30,15,0,10XX W BROADWAY AVE,Fairview,490721.7869,5456752.0765
Break and Enter Commercial,2024,4,1,16,51,10XX W GEORGIA ST,West End,491128.3155,5459137.8634
Break and Enter Commercial,2024,4,1,17,11,10XX W GEORGIA ST,West End,491128.3155,5459137.8634
Break and Enter Commercial,2024,5,4,11,4,10XX W HASTINGS ST,Central Business District,491463.2349,5459405.3446
Break and Enter Commercial,2024,10,11,16,19,11XX BARCLAY ST,West End,490728.4014,5458982.008
Break and Enter Commercial,2024,1,8,1,0,11XX BARCLAY ST,West End,490751.7991,5458971.3788
Break and Enter Commercial,2024,2,19,9,56,11XX BIDWELL ST,West End,489821.5559,5459300.1997
Break and Enter Commercial,2024,2,9,3,30,11XX BROUGHTON ST,West End,490120.4144,5459031.0221
Break and Enter Commercial,2024,9,7,0,30,11XX BURNABY ST,West End,490320.299,5458606.9208
Break and Enter Commercial,2024,9,17,16,24,11XX BURNABY ST,West End,490320.299,5458606.9208
Break and Enter Commercial,2024,5,31,4,30,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Break and Enter Commercial,2024,8,11,6,12,11XX COMMERCIAL DR,Grandview-Woodland,494935.803,5457925.3471
Break and Enter Commercial,2024,1,27,4,8,11XX COMMERCIAL DR,Grandview-Woodland,494936.1012,5457953.2832
Break and Enter Commercial,2024,5,29,4,8,11XX COMMERCIAL DR,Grandview-Woodland,494936.1012,5457953.2832
Break and Enter Commercial,2024,9,21,4,22,11XX DAVIE ST,West End,490395.1231,5458703.0758
Break and Enter Commercial,2024,1,31,4,30,11XX DAVIE ST,West End,490449.3018,5458647.8008
Break and Enter Commercial,2024,4,26,4,47,11XX DAVIE ST,West End,490449.3018,5458647.8008
Break and Enter Commercial,2024,11,5,4,45,11XX DENMAN ST,West End,489805.7152,5459513.7443
Break and Enter Commercial,2024,4,3,4,34,11XX E GEORGIA ST,Strathcona,494090.2903,5458385.8008
Break and Enter Commercial,2024,1,9,3,45,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
Break and Enter Commercial,2024,3,15,1,20,11XX E GEORGIA ST,Strathcona,494131.3232,5458384.7868
Break and Enter Commercial,2024,3,18,16,0,11XX E KENT AVE S,Sunset,493938.2067,5450640.475
Break and Enter Commercial,2024,7,28,23,18,11XX FRANKLIN ST,Strathcona,494162.8569,5458837.4268
Break and Enter Commercial,2024,7,7,16,52,11XX GRANT ST,Strathcona,494207.007,5457637.0136
Break and Enter Commercial,2024,8,2,0,38,11XX GRANT ST,Strathcona,494207.007,5457637.0136
Break and Enter Commercial,2024,6,6,4,30,11XX GRANVILLE ST,Central Business District,490830.218,5458289.5808
Break and Enter Commercial,2024,7,10,6,18,11XX GRANVILLE ST,Central Business District,490841.3229,5458287.7785
Break and Enter Commercial,2024,4,18,5,30,11XX GRANVILLE ST,Central Business District,490853.6809,5458300.2021
Break and Enter Commercial,2024,5,28,4,20,11XX GRANVILLE ST,Central Business District,490862.0554,5458321.587
Break and Enter Commercial,2024,7,31,8,31,11XX GRANVILLE ST,Central Business District,490879.1765,5458338.7989
Break and Enter Commercial,2024,10,30,8,55,11XX HOMER ST,Central Business District,491104.8139,5458126.4139
Break and Enter Commercial,2024,7,28,12,55,11XX HORNBY ST,Central Business District,490740.8735,5458469.7541
Break and Enter Commercial,2024,3,10,20,0,11XX HORNBY ST,Central Business District,490751.6156,5458494.0611
Break and Enter Commercial,2024,7,30,14,32,11XX HORNBY ST,Central Business District,490788.4316,5458519.0567
Break and Enter Commercial,2024,5,13,5,25,11XX HOWE ST,Central Business District,490761.5547,5458365.9588
Break and Enter Commercial,2024,10,15,11,25,11XX HOWE ST,Central Business District,490761.5547,5458365.9588
Break and Enter Commercial,2024,3,4,5,39,11XX HOWE ST,Central Business District,490775.0164,5458366.5794
Break and Enter Commercial,2024,8,16,17,0,11XX MAIN ST,Central Business District,492719.2532,5457948.2565
Break and Enter Commercial,2024,8,20,2,55,11XX MAINLAND ST,Central Business District,491122.8016,5457994.6237
Break and Enter Commercial,2024,9,16,15,24,11XX PACIFIC ST,West End,490218.2236,5458408.6765
Break and Enter Commercial,2024,1,10,7,0,11XX PACIFIC ST,West End,490221.3405,5458405.5505
Break and Enter Commercial,2024,5,19,10,51,11XX PENDRELL ST,West End,490439.0527,5458802.0507
Break and Enter Commercial,2024,2,19,7,21,11XX PENDRELL ST,West End,490439.7327,5458801.3692
Break and Enter Commercial,2024,5,11,9,45,11XX PENDRELL ST,West End,490439.7327,5458801.3692
Break and Enter Commercial,2024,5,16,13,50,11XX PENDRELL ST,West End,490439.7327,5458801.3692
Break and Enter Commercial,2024,1,16,15,19,11XX RICHARDS ST,Central Business District,491064.4841,5458243.068
Break and Enter Commercial,2024,6,6,4,14,11XX ROBSON ST,West End,490889.089,5459126.4404
Break and Enter Commercial,2024,5,10,9,16,11XX SEYMOUR ST,Central Business District,490894.3286,5458208.1336
Break and Enter Commercial,2024,7,13,23,46,11XX SEYMOUR ST,Central Business District,491002.2259,5458315.5813
Break and Enter Commercial,2024,3,20,0,40,11XX STATION ST,Strathcona,492835.0141,5457933.8959
Break and Enter Commercial,2024,7,19,20,30,11XX W 11TH AVE,Fairview,490559.0783,5456537.5821
Break and Enter Commercial,2024,2,28,10,0,11XX W 73RD AVE,Marpole,490280.8544,5450177.5696
Break and Enter Commercial,2024,8,14,9,50,11XX W 8TH AVE,Fairview,490520.4662,5456859.3179
Break and Enter Commercial,2024,9,30,10,52,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.1147
Break and Enter Commercial,2024,2,27,11,29,11XX W GEORGIA ST,West End,490902.7314,5459360.5997
Break and Enter Commercial,2024,2,19,22,30,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.0787
Break and Enter Commercial,2024,9,13,2,24,11XX W GEORGIA ST,Central Business District,490952.0114,5459324.8748
Break and Enter Commercial,2024,6,13,23,58,11XX W PENDER ST,Central Business District,491056.0568,5459502.0768
Break and Enter Commercial,2024,8,17,14,0,11XX W PENDER ST,Central Business District,491167.4271,5459461.4989
Break and Enter Commercial,2024,6,22,23,15,12XX ALBERNI ST,West End,490741.3807,5459432.8022
Break and Enter Commercial,2024,10,2,0,47,12XX ALBERNI ST,West End,490741.3807,5459432.8022
Break and Enter Commercial,2024,7,16,19,3,12XX ALBERNI ST,West End,490834.0469,5459342.8923
Break and Enter Commercial,2024,3,26,2,44,12XX BARCLAY ST,West End,490568.5327,5459141.9334
Break and Enter Commercial,2024,6,3,9,9,12XX COMMERCIAL DR,Grandview-Woodland,494944.2511,5457880.9619
Break and Enter Commercial,2024,9,3,3,0,12XX COMOX ST,West End,490414.9988,5458979.4383
Break and Enter Commercial,2024,6,14,18,0,12XX E 10TH AVE,Mount Pleasant,494336.8075,5456524.6003
Break and Enter Commercial,2024,1,27,22,24,12XX E 7TH AVE,Mount Pleasant,494285.2755,5456838.7178
Break and Enter Commercial,2024,5,14,5,40,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2024,8,19,23,27,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2024,9,4,12,40,12XX FRANCES ST,Strathcona,494264.9017,5458533.4495
Break and Enter Commercial,2024,5,30,5,0,12XX GRANVILLE ST,Central Business District,490711.4545,5458168.033
Break and Enter Commercial,2024,1,17,17,45,12XX GRANVILLE ST,Central Business District,490759.7016,5458204.4134
Break and Enter Commercial,2024,1,10,3,41,12XX GRANVILLE ST,Central Business District,490761.8872,5458219.7528
Break and Enter Commercial,2024,1,11,3,45,12XX GRANVILLE ST,Central Business District,490761.8872,5458219.7528
Break and Enter Commercial,2024,5,8,5,0,12XX HOMER ST,Central Business District,491030.8311,5458052.7713
Break and Enter Commercial,2024,5,5,17,0,12XX HORNBY ST,Central Business District,490582.1086,5458308.1094
Break and Enter Commercial,2024,9,13,10,32,12XX HORNBY ST,Central Business District,490584.7802,5458323.7824
Break and Enter Commercial,2024,9,16,20,25,12XX HORNBY ST,Central Business District,490584.7802,5458323.7824
Break and Enter Commercial,2024,1,16,17,0,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,1,17,4,52,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,4,7,1,59,12XX HORNBY ST,Central Business District,490589.2185,5458328.2549
Break and Enter Commercial,2024,9,17,18,5,12XX HORNBY ST,Central Business District,490591.4377,5458330.4911
Break and Enter Commercial,2024,1,27,0,55,12XX JERVIS ST,West End,490143.994,5458867.7751
Break and Enter Commercial,2024,1,17,15,15,12XX MAIN ST,Central Business District,492717.8328,5457907.3966
Break and Enter Commercial,2024,3,7,2,36,12XX MARINASIDE CRES,Central Business District,491268.6824,5457797.0202
Break and Enter Commercial,2024,4,14,1,20,12XX NELSON ST,West End,490491.9116,5459056.5104
Break and Enter Commercial,2024,5,10,13,24,12XX NELSON ST,West End,490491.9116,5459056.5104
Break and Enter Commercial,2024,3,26,19,0,12XX NELSON ST,West End,490492.7716,5459055.6417
Break and Enter Commercial,2024,6,2,2,30,12XX NELSON ST,West End,490492.7716,5459055.6417
Break and Enter Commercial,2024,9,12,5,55,12XX NELSON ST,West End,490492.7716,5459055.6417
Break and Enter Commercial,2024,8,7,3,36,12XX PENDRELL ST,West End,490316.3341,5458934.2644
Break and Enter Commercial,2024,2,29,6,19,12XX RICHARDS ST,Central Business District,490851.8218,5458026.6393
Break and Enter Commercial,2024,7,2,20,51,12XX SEYMOUR ST,Central Business District,490827.8822,5458141.0923
Break and Enter Commercial,2024,9,27,12,55,12XX VENABLES ST,Strathcona,494331.5315,5458231.2778
Break and Enter Commercial,2024,10,4,12,15,12XX VENABLES ST,Strathcona,494331.5315,5458231.2778
Break and Enter Commercial,2024,2,2,4,0,12XX W 6TH AVE,Fairview,490355.222,5457038.59
Break and Enter Commercial,2024,10,15,14,14,12XX W 73RD AVE,Marpole,490272.8824,5450168.4733
Break and Enter Commercial,2024,1,12,7,21,12XX W 73RD AVE,Marpole,490276.1627,5450168.3771
Break and Enter Commercial,2024,1,22,8,2,12XX W 73RD AVE,Marpole,490276.1627,5450168.3771
Break and Enter Commercial,2024,3,6,18,0,12XX W 7TH AVE,Fairview,490370.4277,5456946.6671
Break and Enter Commercial,2024,2,26,15,14,12XX W HASTINGS ST,Central Business District,491023.488,5459585.8138
Break and Enter Commercial,2024,3,26,16,15,12XX W HASTINGS ST,Central Business District,491064.3753,5459576.8723
Break and Enter Commercial,2024,2,8,17,30,12XX W PENDER ST,Central Business District,490899.0425,5459585.1576
Break and Enter Commercial,2024,2,9,7,37,12XX W PENDER ST,Central Business District,490899.0425,5459585.1576
Break and Enter Commercial,2024,6,13,21,53,13XX BURRARD ST,Central Business District,490410.3314,5458289.3816
Break and Enter Commercial,2024,10,16,5,40,13XX BUTE ST,West End,490171.7589,5458654.1587
Break and Enter Commercial,2024,8,8,22,0,13XX CARDERO ST,West End,489766.6902,5459025.408
Break and Enter Commercial,2024,10,8,22,2,13XX CLARK DR,Strathcona,494371.0451,5457790.7812
Break and Enter Commercial,2024,6,3,3,32,13XX COMMERCIAL DR,Grandview-Woodland,494933.7777,5457806.3001
Break and Enter Commercial,2024,3,12,10,30,13XX CONTINENTAL ST,Central Business District,490630.0559,5458164.0605
Break and Enter Commercial,2024,11,5,6,0,13XX CONTINENTAL ST,Central Business District,490630.4225,5458164.9748
Break and Enter Commercial,2024,5,22,22,29,13XX CONTINENTAL ST,Central Business District,490638.8791,5458161.586
Break and Enter Commercial,2024,1,16,11,35,13XX DAVIE ST,West End,490174.5554,5458923.7446
Break and Enter Commercial,2024,5,31,5,45,13XX DAVIE ST,West End,490184.2164,5458914.1142
Break and Enter Commercial,2024,3,8,23,0,13XX E 33RD AVE,Kensington-Cedar Cottage,494423.2344,5454167.084
Break and Enter Commercial,2024,4,20,4,20,13XX E 41ST AVE,Kensington-Cedar Cottage,494300.1233,5453338.0159
Break and Enter Commercial,2024,4,8,15,7,13XX E 8TH AVE,Grandview-Woodland,494455.1886,5456726.5744
Break and Enter Commercial,2024,10,28,7,58,13XX E HASTINGS ST,Grandview-Woodland,494413.5441,5458739.3148
Break and Enter Commercial,2024,4,9,5,25,13XX E KENT AVE N,Sunset,494282.4885,5450726.1732
Break and Enter Commercial,2024,4,4,20,42,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.7119
Break and Enter Commercial,2024,4,22,3,0,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.7119
Break and Enter Commercial,2024,8,7,23,10,13XX E PENDER ST,Grandview-Woodland,494407.2244,5458629.7119
Break and Enter Commercial,2024,9,5,7,0,13XX FRANCES ST,Grandview-Woodland,494390.4192,5458531.1039
Break and Enter Commercial,2024,8,12,19,4,13XX FRANCES ST,Grandview-Woodland,494392.5692,5458531.0585
Break and Enter Commercial,2024,9,7,4,30,13XX GRANVILLE ST,Central Business District,490689.089,5458145.9039
Break and Enter Commercial,2024,10,5,23,20,13XX GRANVILLE ST,Central Business District,490689.089,5458145.9039
Break and Enter Commercial,2024,5,17,22,30,13XX HOMER ST,Central Business District,490841.379,5457836.9133
Break and Enter Commercial,2024,9,3,19,3,13XX HORNBY ST,Central Business District,490528.5106,5458254.8944
Break and Enter Commercial,2024,2,15,19,30,13XX HOWE ST,Central Business District,490566.5114,5458170.386
Break and Enter Commercial,2024,9,13,8,0,13XX HOWE ST,Central Business District,490608.4706,5458212.4094
Break and Enter Commercial,2024,1,15,3,25,13XX KINGSWAY AVE,Kensington-Cedar Cottage,494311.1698,5455398.4791
Break and Enter Commercial,2024,4,16,5,43,13XX RICHARDS ST,Central Business District,490833.7723,5457995.6889
Break and Enter Commercial,2024,6,28,0,0,13XX RICHARDS ST,Central Business District,490833.7723,5457995.6889
Break and Enter Commercial,2024,4,3,2,49,13XX RICHARDS ST,Central Business District,490835.981,5457997.8622
Break and Enter Commercial,2024,4,20,0,34,13XX RICHARDS ST,Central Business District,490835.981,5457997.8622
Break and Enter Commercial,2024,5,23,23,43,13XX RICHARDS ST,Central Business District,490835.981,5457997.8622
Break and Enter Commercial,2024,3,19,1,30,13XX SEYMOUR ST,Central Business District,490698.7462,5457992.8995
Break and Enter Commercial,2024,3,28,4,0,13XX SEYMOUR ST,Central Business District,490731.994,5458024.3542
Break and Enter Commercial,2024,9,12,21,5,13XX W 70TH AVE,Marpole,490142.3312,5450653.0372
Break and Enter Commercial,2024,10,15,17,0,13XX W 8TH AVE,Fairview,490130.6556,5456868.3066
Break and Enter Commercial,2024,1,26,5,0,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.4658
Break and Enter Commercial,2024,4,11,4,0,13XX W BROADWAY AVE,Fairview,490213.1361,5456765.4658
Break and Enter Commercial,2024,4,15,4,20,14XX ADANAC ST,Grandview-Woodland,494585.6015,5458318.7193
Break and Enter Commercial,2024,2,12,3,35,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.0102
Break and Enter Commercial,2024,3,25,8,0,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.0102
Break and Enter Commercial,2024,9,12,11,16,14XX E 1ST AVE,Grandview-Woodland,494561.631,5457437.2599
Break and Enter Commercial,2024,10,21,18,0,14XX E GEORGIA ST,Grandview-Woodland,494503.494,5458428.3074
Break and Enter Commercial,2024,5,31,5,30,14XX E HASTINGS ST,Grandview-Woodland,494501.9083,5458728.5407
Break and Enter Commercial,2024,8,30,6,52,14XX E HASTINGS ST,Grandview-Woodland,494588.6352,5458736.089
Break and Enter Commercial,2024,2,19,12,15,14XX E HASTINGS ST,Grandview-Woodland,494592.7539,5458736.0127
Break and Enter Commercial,2024,3,23,5,18,14XX E KING EDWARD AVE,Kensington-Cedar Cottage,494477.5646,5455089.5381
Break and Enter Commercial,2024,9,5,7,0,14XX FRANCES ST,Grandview-Woodland,494594.5596,5458526.8312
Break and Enter Commercial,2024,2,13,8,0,14XX GRANT ST,Grandview-Woodland,494546.8223,5457641.5872
Break and Enter Commercial,2024,8,21,15,49,14XX HARO ST,West End,490453.7585,5459417.2773
Break and Enter Commercial,2024,1,28,3,37,14XX QUEBEC ST,Central Business District,492586.5863,5457740.9297
Break and Enter Commercial,2024,2,21,14,53,14XX STRATHMORE MEWS,Central Business District,490775.3821,5457825.1561
Break and Enter Commercial,2024,10,18,15,15,14XX VENABLES ST,Grandview-Woodland,494585.2595,5458226.2899
Break and Enter Commercial,2024,5,7,14,15,14XX VENABLES ST,Grandview-Woodland,494587.327,5458226.2523
Break and Enter Commercial,2024,5,28,3,36,14XX VENABLES ST,Grandview-Woodland,494587.327,5458226.2523
Break and Enter Commercial,2024,6,20,14,59,14XX VENABLES ST,Grandview-Woodland,494587.327,5458226.2523
Break and Enter Commercial,2024,1,5,0,0,14XX W 6TH AVE,Fairview,489955.0133,5457059.8871
Break and Enter Commercial,2024,3,11,0,0,14XX W 6TH AVE,Fairview,489955.0133,5457059.8871
Break and Enter Commercial,2024,7,31,5,0,14XX W 6TH AVE,Fairview,490048.8286,5457048.5386
Break and Enter Commercial,2024,8,15,10,38,14XX W BROADWAY AVE,Fairview,490043.381,5456760.6176
Break and Enter Commercial,2024,8,29,13,54,14XX W GEORGIA ST,Central Business District,490664.9304,5459609.2937
Break and Enter Commercial,2024,3,25,4,50,14XX W PENDER ST,Central Business District,490623.4453,5459709.5029
Break and Enter Commercial,2024,8,25,12,5,15XX BARCLAY ST,West End,490266.5416,5459439.2911
Break and Enter Commercial,2024,7,18,17,22,15XX BARCLAY ST,West End,490266.5758,5459439.2577
Break and Enter Commercial,2024,9,4,5,37,15XX BARCLAY ST,West End,490266.5758,5459439.2577
Break and Enter Commercial,2024,1,4,21,1,15XX CLARK DR,Grandview-Woodland,494378.3972,5457618.945
Break and Enter Commercial,2024,7,22,8,39,15XX COMOX ST,West End,490133.0751,5459271.0466
Break and Enter Commercial,2024,7,7,20,33,15XX CYPRESS ST,Kitsilano,489242.1598,5457705.7993
Break and Enter Commercial,2024,2,28,5,50,15XX DAVIE ST,West End,489981.4416,5459100.5943
Break and Enter Commercial,2024,6,5,6,20,15XX E 4TH AVE,Grandview-Woodland,494735.7596,5457122.948
Break and Enter Commercial,2024,7,18,18,4,15XX E BROADWAY AVE,Kensington-Cedar Cottage,494742.2474,5456618.3416
Break and Enter Commercial,2024,9,4,5,0,15XX E HASTINGS ST,Grandview-Woodland,494620.9347,5458726.3382
Break and Enter Commercial,2024,3,27,12,17,15XX E PENDER ST,Grandview-Woodland,494634.8199,5458625.7118
Break and Enter Commercial,2024,8,13,14,31,15XX GRANVILLE ST,Central Business District,490470.8959,5457929.2153
Break and Enter Commercial,2024,9,23,13,36,15XX POWELL ST,Grandview-Woodland,494670.11,5458964.4903
Break and Enter Commercial,2024,1,29,17,0,15XX RAND AVE,Marpole,489573.8283,5450370.3316
Break and Enter Commercial,2024,1,30,18,4,15XX RAND AVE,Marpole,489573.8283,5450370.3316
Break and Enter Commercial,2024,1,29,9,23,15XX RAND AVE,Marpole,489593.3081,5450344.115
Break and Enter Commercial,2024,9,2,0,0,15XX RAND AVE,Marpole,489651.1611,5450266.7587
Break and Enter Commercial,2024,10,9,5,0,15XX ROBSON ST,West End,490452.9462,5459572.6536
Break and Enter Commercial,2024,1,25,12,54,15XX W 11TH AVE,Fairview,489823.9693,5456565.0985
Break and Enter Commercial,2024,1,30,1,0,15XX W 11TH AVE,Fairview,489847.4759,5456555.5078
Break and Enter Commercial,2024,6,16,3,30,15XX W 14TH AVE,Fairview,489850.3034,5456254.4981
Break and Enter Commercial,2024,2,11,3,49,15XX W 65TH AVE,Marpole,489758.7156,5451066.2188
Break and Enter Commercial,2024,6,21,1,55,15XX W 75TH AVE,Marpole,489602.0225,5450193.0677
Break and Enter Commercial,2024,3,5,23,0,15XX W 7TH AVE,Fairview,489787.6854,5456970.6648
Break and Enter Commercial,2024,8,30,7,0,15XX W 7TH AVE,Fairview,489856.6198,5456968.8833
Break and Enter Commercial,2024,4,25,18,0,15XX W 8TH AVE,Fairview,489900.1731,5456874.3686
Break and Enter Commercial,2024,6,14,17,0,15XX W BROADWAY AVE,Fairview,489884.2968,5456763.7186
Break and Enter Commercial,2024,8,19,9,35,15XX W BROADWAY AVE,Fairview,489884.2968,5456763.7186
Break and Enter Commercial,2024,10,29,0,5,15XX W BROADWAY AVE,Fairview,489884.2968,5456763.7186
Break and Enter Commercial,2024,8,28,19,0,15XX W GEORGIA ST,West End,490584.3614,5459678.0064
Break and Enter Commercial,2024,9,25,17,0,16XX ADANAC ST,Grandview-Woodland,494801.8464,5458312.3244
Break and Enter Commercial,2024,10,21,12,14,16XX BURNABY ST,West End,489775.4593,5459146.3243
Break and Enter Commercial,2024,4,24,0,34,16XX COMMERCIAL DR,Grandview-Woodland,494928.641,5457523.9519
Break and Enter Commercial,2024,7,23,3,10,16XX DAVIE ST,West End,489849.7329,5459244.6534
Break and Enter Commercial,2024,2,28,17,2,16XX E 1ST AVE,Grandview-Woodland,494860.7037,5457421.8849
Break and Enter Commercial,2024,3,15,18,0,16XX E 2ND AVE,Grandview-Woodland,494824.4043,5457334.9144
Break and Enter Commercial,2024,9,15,3,0,16XX E 3RD AVE,Grandview-Woodland,494851.6711,5457233.6809
Break and Enter Commercial,2024,1,15,11,21,16XX E 5TH AVE,Grandview-Woodland,494865.2527,5457023.7892
Break and Enter Commercial,2024,8,10,12,57,16XX E 5TH AVE,Grandview-Woodland,494865.2527,5457023.7892
Break and Enter Commercial,2024,2,14,3,33,16XX E BROADWAY AVE,Grandview-Woodland,494785.68,5456626.8853
Break and Enter Commercial,2024,5,16,18,17,16XX E BROADWAY AVE,Grandview-Woodland,494847.0444,5456626.0359
